Word,Emotion
endure,remorse
engineering,confusion
enjoy,joy
enjoyable,joy
enjoyed,joy
enjoying,joy
entertaining,amusement
environment,relief
esteem,grief
european,pride
everyday,pride
exactly,approval
excellent,admiration
excited,excitement
excitement,excitement
exciting,excitement
expect,curiosity
explain,curiosity
explaining,gratitude
explanation,gratitude
extremely,embarrassment
fade,caring
failing,disappointment
fair,approval
false,disapproval
family,grief
fantastic,admiration
farewell,embarrassment
farts,relief
fathom,nervousness
favorite,love
favourite,love
fear,fear
feared,fear
feedback,gratitude
feel,sadness
feeling,caring
feelings,sadness
feels,relief
felt,sadness
fewer,approval
figured,realization
filters,relief
filthy,disgust
finally,relief
financially,pride
finds,optimism
fine,approval
fingers,pride
flavours,embarrassment
flesh,disgust
fleshy,fear
fool,annoyance
forgot,realization
freaked,fear
freaking,anger
freeing,relief
friend,caring
frightening,fear
frustrated,anger
frustrating,annoyance
frustration,anger
fuck,anger
fucked,anger
fucken,anger
fuckin,anger
fucking,anger
fun,amusement
funnier,amusement
funniest,amusement
funny,amusement
future,optimism
fuuuuck,anger
game,disappointment
garbage,disgust
gel,relief
genius,admiration
geniuses,pride
genuinely,curiosity
gives,nervousness
glad,joy
gladly,joy
glory,pride
god,relief
goes,optimism
golden,pride
good,admiration
goodness,relief
gorgeous,admiration
gosh,surprise
got,excitement
gotta,love
greasy,disgust
great,admiration
greatest,admiration
greatly,gratitude
grief,grief
gross,disgust
guilt,remorse
guilty,remorse
ha,amusement
haha,amusement
hahah,amusement
hahaha,amusement
hahahah,amusement
hahahaha,amusement
hahahahaha,amusement
hahahahahaha,amusement
hallucinations,nervousness
hamster,relief
handsome,admiration
hang,caring
hangover,desire
happen,optimism
happened,curiosity
happier,joy
happiest,joy
happily,joy
happiness,joy
happy,joy
happyfriendlybot,caring
hard,sadness
harmed,relief
hate,anger
hated,anger
haters,anger
hatred,disgust
hawks,pride
health,caring
hear,joy
heard,realization
heart,grief
heartbreaking,sadness
heartbroken,sadness
heartwarming,grief
heck,anger
hehe,amusement
hell,anger
help,caring
helpful,gratitude
helps,gratitude
heroes,grief
hey,excitement
hideous,disgust
hilarious,amusement
hips,pride
hl,relief
holiday,excitement
holy,surprise
honesty,admiration
hope,optimism
hopeful,optimism
hopefully,optimism
hoping,optimism
hornets,nervousness
horrendous,fear
horrible,fear
horribly,fear
horrid,fear
horrific,fear
horrifying,fear
horror,fear
howdy,remorse
hug,caring
hugs,love
humanity,pride
humiliation,embarrassment
hurt,sadness
hurting,sadness
hurts,sadness
hypothetical,nervousness
idea,confusion
idiot,anger
idiots,annoyance
idk,confusion
ignorance,remorse
illegal,disapproval
im,remorse
imagining,pride
import,surprise
impressed,admiration
impressive,admiration
inadvertently,embarrassment
inconvenient,embarrassment
incredible,admiration
infamous,fear
info,gratitude
informative,gratitude
infuriating,anger
input,gratitude
insane,surprise
insight,gratitude
integrity,pride
intent,pride
intention,remorse
intentionally,disapproval
interested,excitement
interesting,excitement
internal,grief
investigations,pride
irrational,fear
irrationally,anger
irritable,pride
irritating,annoyance
isn,disapproval
isolation,fear
jersey,pride
jfc,nervousness
job,admiration
joke,amusement
jokes,amusement
joking,amusement
journalistic,pride
journey,optimism
joy,joy
justices,confusion
justifies,confusion
juuls,embarrassment
kat,embarrassment
kd,relief
kemba,desire
kick,anger
kicked,remorse
kidding,amusement
kill,anger
kindly,gratitude
kink,embarrassment
kitty,nervousness
know,confusion
lacking,relief
lands,grief
lashes,sadness
laugh,amusement
laughed,amusement
laughing,amusement
leaking,pride
learned,pride
legend,admiration
les,anger
let,neutral
license,relief
licensed,nervousness
life,caring
lifelong,desire
like,love
liked,love
link,curiosity
ll,gratitude
lmao,amusement
load,embarrassment
lol,amusement
lonely,sadness
looks,admiration
lose,disappointment
loss,grief
lost,disappointment
lot,gratitude
loud,amusement
love,love
loved,love
lovely,love
loves,love
loving,love
luck,optimism
lucky,relief
lustful,disgust
luv,love
mac,relief
madridista,remorse
magnitude,embarrassment
mah,pride
makes,joy
mam,anger
man,admiration
managing,nervousness
manchester,desire
manifest,embarrassment
manning,amusement
margaritas,relief
martyr,pride
masses,nervousness
masterpiece,pride
matched,pride
mate,gratitude
mattresses,disgust
maybe,confusion
mean,confusion
meant,remorse
memphis,embarrassment
mental,caring
mercy,grief
merrily,excitement
messaged,embarrassment
midway,joy
milan,remorse
millionaires,embarrassment
minion,embarrassment
miracle,surprise
mis,remorse
miserable,sadness
misread,realization
miss,sadness
missed,disappointment
mistake,embarrassment
misunderstanding,remorse
misunderstood,remorse
moan,disgust
morbid,relief
moron,anger
mortified,embarrassment
motherfucker,anger
motherfucking,anger
motivated,optimism
mourn,grief
muster,pride
nah,disapproval
nailed,pride
nasty,disgust
neat,admiration
need,desire
needed,gratitude
needing,nervousness
needles,disappointment
needs,neutral
neglected,remorse
nervous,nervousness
nervousness,nervousness
new,excitement
nice,admiration
nicotine,grief
nightmare,fear
nike,anger
noble,grief
nonsense,annoyance
noooo,disgust
nope,disapproval
normies,anger
noticed,realization
nuclear,fear
obnoxious,disgust
offenders,embarrassment
oh,surprise
ohhhhh,surprise
ok,approval
okay,caring
omg,surprise
oof,relief
oooh,nervousness
oooo,embarrassment
oops,embarrassment
op,gratitude
optimistic,optimism
outlook,optimism
outstanding,excitement
overdose,nervousness
overnight,embarrassment
overwhelmed,relief
ow,nervousness
pain,sadness
painful,sadness
painfully,sadness
pains,sadness
panic,fear
paralyzed,relief
paranoid,nervousness
participants,embarrassment
passed,grief
pathetic,sadness
peace,grief
peaceful,relief
peed,relief
peers,pride
people,annoyance
perfect,admiration
perpetrator,grief
perspective,gratitude
perth,relief
pervasive,embarrassment
pieces,grief
pissed,annoyance
pisses,nervousness
playthrough,pride
pleasantly,surprise
pms,nervousness
poor,sadness
posting,gratitude
powered,pride
praise,pride
pray,caring
praying,caring
prefer,approval
pretty,admiration
pricks,embarrassment
pride,pride
prince,love
probably,optimism
probs,relief
profiles,relief
prolly,embarrassment
protect,caring
proud,pride
psychiatrist,nervousness
psychologist,relief
question,confusion
quitting,nervousness
rad,relief
rain,nervousness
rainbow,excitement
raped,disgust
reader,nervousness
realise,realization
realised,realization
realization,realization
realize,realization
realized,realization
realizing,realization
really,neutral
rec,embarrassment
receipt,nervousness
recognized,realization
recognizing,pride
recommendation,gratitude
recover,pride
redhead,disgust
reevaluate,optimism
referring,realization
refuse,disapproval
regret,remorse
regretted,remorse
regretting,remorse
rejection,disapproval
relax,relief
relaxed,relief
relaxing,relief
relief,relief
relieved,relief
relieving,relief
remastered,pride
remember,realization
reminding,gratitude
remindme,neutral
reminds,realization
reply,gratitude
repulsive,disgust
resolved,relief
respected,pride
response,gratitude
rewarding,pride
ribs,grief
ridiculous,annoyance
right,approval
rip,grief
rogue,relief
rude,anger
sad,sadness
saddest,sadness
sadly,sadness
sadness,sadness
safe,caring
salmonella,nervousness
sandwiches,pride
satisfy,nervousness
save,grief
saves,relief
scare,fear
scared,fear
scares,fear
scariest,fear
scary,fear
scorpion,nervousness
scroll,relief
seen,surprise
senator,pride
sending,caring
sense,gratitude
seriously,annoyance
settled,relief
severely,disappointment
sexy,admiration
shaking,nervousness
shame,embarrassment
shamed,embarrassment
shameful,embarrassment
shaming,embarrassment
sharing,gratitude
shell,embarrassment
shields,nervousness
shine,optimism
shit,annoyance
shitting,disgust
shitty,disappointment
shock,surprise
shocked,surprise
shocking,surprise
shockingly,surprise
shocks,surprise
shortly,grief
shouldn,disapproval
shrek,disappointment
shut,anger
sick,sadness
silence,grief
silent,desire
sincerely,remorse
sing,excitement
sins,caring
sir,gratitude
skipped,nervousness
slap,anger
slick,desire
smart,admiration
smile,joy
snorting,nervousness
snuggle,nervousness
socially,embarrassment
sole,desire
solved,relief
someday,optimism
someplace,grief
sons,grief
soon,optimism
sooner,grief
sorrow,grief
sorry,remorse
sought,grief
sounds,fear
soy,disgust
spawn,nervousness
specialist,caring
speechless,surprise
spelled,relief
spirit,pride
spun,embarrassment
sry,disapproval
stab,surprise
stalked,remorse
stalking,relief
stares,embarrassment
starve,disapproval
statistical,nervousness
stay,caring
stoked,excitement
stomach,disgust
stop,anger
stove,nervousness
strange,surprise
stressed,nervousness
stressful,sadness
strikes,relief
striped,desire
stroke,nervousness
strong,caring
studied,pride
stunning,admiration
stupid,annoyance
style,love
subconsciously,nervousness
successful,grief
suck,anger
sucked,annoyance
sucker,annoyance
sucks,annoyance
sudden,surprise
suddenly,realization
suffering,sadness
suggest,caring
suggestion,gratitude
suggestions,gratitude
sunset,desire
super,admiration
support,caring
suprised,surprise
sure,confusion
surprise,surprise
surprised,surprise
surprises,surprise
surprising,surprise
surprisingly,surprise
surreal,disappointment
survived,grief
suspected,relief
sweet,admiration
sweetener,desire
sweetest,joy
tastes,nervousness
tears,sadness
teenage,disapproval
temporarily,embarrassment
tense,nervousness
terrible,fear
terribly,grief
terrific,grief
terrified,fear
terrifying,fear
terrors,fear
thank,gratitude
thankful,gratitude
thankfully,gratitude
thanking,pride
thanks,gratitude
thankyou,gratitude
theocracy,curiosity
therapy,caring
think,disapproval
thought,realization
thrash,relief
thrills,excitement
throwaways,embarrassment
thump,desire
thx,gratitude
tighten,disgust
tip,gratitude
tired,nervousness
titans,excitement
tomorrow,optimism
tragic,grief
trainwreck,grief
translate,embarrassment
travels,caring
tremendously,nervousness
tried,disappointment
true,approval
truly,grief
try,gratitude
tsa,nervousness
tuesday,relief
turnovers,surprise
turtles,love
twat,disgust
ty,gratitude
ugh,disgust
ugly,disgust
ult,fear
unbelievable,surprise
uncomfortable,embarrassment
unconditional,love
uncontrollably,nervousness
understand,confusion
understood,confusion
unexpected,surprise
unfortunate,sadness
unfortunately,disappointment
unheard,grief
unlucky,disappointment
unpopular,disapproval
unwanted,relief
upset,disappointment
upsets,disappointment
upsetting,disappointment
urine,embarrassment
username,love
utter,anger
valentine,love
valium,relief
vancouver,disgust
vast,disappointment
ve,realization
vegetable,pride
verb,surprise
virus,nervousness
visit,grief
waaaay,disgust
wait,excitement
waited,pride
wanna,desire
want,desire
wanted,desire
warrior,pride
wasn,disapproval
weird,disgust
weirdo,disgust
welcome,gratitude
whatnot,grief
wheels,nervousness
whew,relief
whore,anger
win,optimism
windshield,grief
winner,pride
wish,desire
wishes,caring
woah,surprise
wonder,surprise
wondered,surprise
wonderful,admiration
wondering,surprise
words,gratitude
worried,nervousness
worries,caring
worry,caring
worrying,nervousness
worse,disgust
worst,disgust
wow,surprise
wrong,disapproval
wtf,anger
yay,excitement
yeah,approval
year,excitement
years,realization
yep,approval
yes,approval
yesssss,excitement
youve,grief
yuck,disgust
